ds,n_subj
ds000001,16
ds000002,17
ds000003,13
ds000005,16
ds000006,14
ds000007,20
ds000008,14
ds000009,24
ds000011,14
ds000017,8
ds000030,272
ds000031,1
ds000051,13
ds000052,13
ds000053,59
ds000101,21
ds000102,26
ds000105,6
ds000107,49
ds000108,34
ds000109,36
ds000110,18
ds000114,10
ds000115,99
ds000116,17
ds000119,73
ds000120,26
ds000121,28
ds000133,26
ds000140,33
ds000148,49
ds000157,30
ds000158,217
ds000164,28
ds000168,35
ds000170,15
ds000171,39
ds000172,13
ds000177,0
ds000200,14
ds000204,1
ds000205,11
ds000208,76
ds000210,31
ds000212,39
ds000213,26
ds000214,36
ds000216,7
ds000217,41
ds000218,19
ds000219,21
ds000220,26
ds000221,318
ds000223,19
ds000224,10
ds000228,155
ds000229,15
ds000231,9
ds000232,10
ds000233,12
ds000234,5
ds000235,4
ds000236,18
ds000237,13
ds000243,120
