ds,n_fmriprep,n_freesurfer
ds000001,4,7
ds000002,4,8
ds000003,4,6
ds000005,4,7
ds000006,0,4
ds000007,4,8
ds000008,4,7
ds000009,4,8
ds000011,4,7
ds000017,4,5
ds000030,4,4
ds000031,1,1
ds000051,4,7
ds000052,4,7
ds000053,4,4
ds000101,4,8
ds000102,4,8
ds000105,4,6
ds000107,4,7
ds000108,4,7
ds000109,4,6
ds000110,4,8
ds000114,4,7
ds000115,4,8
ds000116,4,6
ds000119,4,8
ds000120,4,4
ds000121,4,7
ds000133,4,4
ds000140,4,4
ds000148,5,5
ds000157,4,4
ds000158,4,4
ds000164,4,4
ds000168,4,4
ds000170,4,4
ds000171,4,4
ds000172,4,4
ds000177,4,4
ds000200,4,4
ds000204,0,1
ds000205,4,4
ds000208,4,4
ds000210,0,4
ds000212,4,4
ds000213,4,4
ds000214,4,4
ds000216,4,4
ds000217,4,4
ds000218,4,4
ds000219,4,4
ds000220,4,4
ds000221,4,4
ds000223,4,7
ds000224,4,9
ds000228,4,4
ds000229,4,4
ds000231,4,4
ds000232,4,7
ds000233,4,8
ds000234,0,4
ds000235,0,4
ds000236,0,4
ds000237,4,7
ds000243,4,8
