ds,subject,ses,task,n_num
ds000001,sub-01,,balloonanalogrisktask,3
ds000001,sub-02,,balloonanalogrisktask,3
ds000001,sub-07,,balloonanalogrisktask,3
ds000001,sub-08,,balloonanalogrisktask,3
ds000002,sub-02,,mixedeventrelatedprobe,2
ds000002,sub-02,,deterministicclassification,2
ds000002,sub-02,,probabilisticclassification,2
ds000002,sub-03,,probabilisticclassification,2
ds000002,sub-03,,deterministicclassification,2
ds000002,sub-03,,mixedeventrelatedprobe,2
ds000002,sub-04,,probabilisticclassification,2
ds000002,sub-04,,mixedeventrelatedprobe,2
ds000002,sub-04,,deterministicclassification,2
ds000002,sub-10,,mixedeventrelatedprobe,2
ds000002,sub-10,,deterministicclassification,2
ds000002,sub-10,,probabilisticclassification,2
ds000003,sub-02,,rhymejudgment,1
ds000003,sub-09,,rhymejudgment,1
ds000003,sub-10,,rhymejudgment,1
ds000003,sub-11,,rhymejudgment,1
ds000005,sub-01,,mixedgamblestask,3
ds000005,sub-04,,mixedgamblestask,3
ds000005,sub-05,,mixedgamblestask,3
ds000005,sub-15,,mixedgamblestask,3
ds000007,sub-03,,stopword,2
ds000007,sub-03,,stopmanual,2
ds000007,sub-03,,stopvocal,2
ds000007,sub-04,,stopmanual,2
ds000007,sub-04,,stopvocal,2
ds000007,sub-04,,stopword,2
ds000007,sub-08,,stopword,2
ds000007,sub-08,,stopvocal,2
ds000007,sub-08,,stopmanual,2
ds000007,sub-12,,stopword,2
ds000007,sub-12,,stopmanual,2
ds000007,sub-12,,stopvocal,2
ds000008,sub-10,,conditionalstopsignal,3
ds000008,sub-10,,stopsignal,3
ds000008,sub-12,,conditionalstopsignal,3
ds000008,sub-12,,stopsignal,2
ds000008,sub-13,,conditionalstopsignal,3
ds000008,sub-13,,stopsignal,3
ds000008,sub-15,,conditionalstopsignal,3
ds000008,sub-15,,stopsignal,3
ds000009,sub-17,,emotionalregulation,2
ds000009,sub-17,,stopsignal,2
ds000009,sub-17,,discounting,1
ds000009,sub-17,,balloonanalogrisktask,1
ds000009,sub-18,,stopsignal,2
ds000009,sub-18,,balloonanalogrisktask,1
ds000009,sub-18,,emotionalregulation,2
ds000009,sub-18,,discounting,1
ds000009,sub-21,,emotionalregulation,2
ds000009,sub-21,,stopsignal,2
ds000009,sub-21,,balloonanalogrisktask,1
ds000009,sub-21,,discounting,1
ds000009,sub-23,,balloonanalogrisktask,1
ds000009,sub-23,,stopsignal,2
ds000009,sub-23,,emotionalregulation,2
ds000009,sub-23,,discounting,1
ds000011,sub-03,,tonecounting,1
ds000011,sub-03,,Classificationprobewithoutfeedback,1
ds000011,sub-03,,Dualtaskweatherprediction,2
ds000011,sub-03,,Singletaskweatherprediction,2
ds000011,sub-09,,Singletaskweatherprediction,2
ds000011,sub-09,,Dualtaskweatherprediction,2
ds000011,sub-09,,tonecounting,1
ds000011,sub-11,,Dualtaskweatherprediction,2
ds000011,sub-11,,Classificationprobewithoutfeedback,1
ds000011,sub-11,,Singletaskweatherprediction,2
ds000011,sub-11,,tonecounting,1
ds000011,sub-14,,Dualtaskweatherprediction,2
ds000011,sub-14,,Classificationprobewithoutfeedback,1
ds000011,sub-14,,Singletaskweatherprediction,2
ds000011,sub-14,,tonecounting,1
ds000017,sub-2,timepoint2,probabilisticclassification,2
ds000017,sub-2,timepoint2,selectivestopsignaltask,3
ds000017,sub-2,timepoint1,selectivestopsignaltask,3
ds000017,sub-2,timepoint1,probabilisticclassification,2
ds000017,sub-5,timepoint2,probabilisticclassification,2
ds000017,sub-5,timepoint2,selectivestopsignaltask,2
ds000017,sub-5,timepoint1,probabilisticclassification,2
ds000017,sub-5,timepoint1,selectivestopsignaltask,3
ds000017,sub-7,timepoint2,selectivestopsignaltask,3
ds000017,sub-7,timepoint2,probabilisticclassification,2
ds000017,sub-7,timepoint1,probabilisticclassification,2
ds000017,sub-7,timepoint1,selectivestopsignaltask,3
ds000017,sub-8,timepoint2,selectivestopsignaltask,2
ds000017,sub-8,timepoint2,probabilisticclassification,2
ds000017,sub-8,timepoint1,selectivestopsignaltask,3
ds000017,sub-8,timepoint1,probabilisticclassification,2
ds000030,sub-10440,,stopsignal,1
ds000030,sub-10440,,bart,1
ds000030,sub-10440,,bht,1
ds000030,sub-10440,,scap,1
ds000030,sub-10440,,taskswitch,1
ds000030,sub-10440,,rest,1
ds000030,sub-10638,,rest,1
ds000030,sub-10638,,stopsignal,1
ds000030,sub-10638,,taskswitch,1
ds000030,sub-10638,,scap,1
ds000030,sub-10638,,pamret,1
ds000030,sub-10638,,bart,1
ds000030,sub-10638,,pamenc,1
ds000030,sub-10638,,bht,1
ds000030,sub-10668,,bht,1
ds000030,sub-10668,,pamenc,1
ds000030,sub-10668,,pamret,1
ds000030,sub-10668,,taskswitch,1
ds000030,sub-10668,,stopsignal,1
ds000030,sub-10668,,rest,1
ds000030,sub-10668,,bart,1
ds000030,sub-10668,,scap,1
ds000030,sub-10855,,rest,1
ds000030,sub-10855,,bht,1
ds000030,sub-10855,,stopsignal,1
ds000030,sub-10855,,taskswitch,1
ds000030,sub-10855,,pamenc,1
ds000030,sub-10855,,scap,1
ds000030,sub-10855,,bart,1
ds000030,sub-10855,,pamret,1
ds000031,sub-01,107,retinotopy,8
ds000031,sub-01,092,dotstop,1
ds000031,sub-01,092,rest,1
ds000031,sub-01,047,rest,1
ds000031,sub-01,016,rest,1
ds000031,sub-01,082,rest,1
ds000031,sub-01,019,rest,1
ds000031,sub-01,010,rest,1
ds000031,sub-01,059,rest,1
ds000031,sub-01,059,nback,1
ds000031,sub-01,105,eyesopen,11
ds000031,sub-01,105,rest,10
ds000031,sub-01,057,nback,1
ds000031,sub-01,057,rest,1
ds000031,sub-01,061,rest,1
ds000031,sub-01,061,nback,1
ds000031,sub-01,066,rest,1
ds000031,sub-01,066,breathhold,1
ds000031,sub-01,040,rest,1
ds000031,sub-01,040,nback,1
ds000031,sub-01,035,nback,1
ds000031,sub-01,035,rest,1
ds000031,sub-01,100,rest,1
ds000031,sub-01,100,languagewm,1
ds000031,sub-01,100,spatialwm,1
ds000031,sub-01,074,breathhold,1
ds000031,sub-01,074,rest,1
